KEY,English,Bulgarian,Russian,French,Italian,Portuguese,German,Spanish,Malay,Korean,Japanese,Chinese,Serbian,Croatian,Montenegro,Slovak,Bosnian,Brazil,Macedonian
Language.LocalisedName,English,Български,Русский,Français,Italiano,Português,Deutsch,Español,Bahasa Melayu,한국어,日本語,简体中文,Srpski,Hrvatski,Crnogorski,Slovenčina,Bosanski,Português,Македонски
GameName,Word Farm With Friends HD,Игра на думи - Word Farm,Word Farm With Friends HD,Word Farm With Friends HD,Word Farm With Friends HD,Jogo de Palavras - Word Farm,Word Farm With Friends HD,Word Farm With Friends HD,Word Farm With Friends HD,Word Farm With Friends HD,Word Farm With Friends HD,Word Farm With Friends HD,Igra Reči - Word Farm,Igra Reči - Word Farm,Igra Reči - Word Farm,Igra Reči - Word Farm,Igra Reči - Word Farm,Jogo de Palavras - Word Farm,Игра на думи - Word Farm
Advertising.UnityAds.WatchForCoins.Button,Free Coins,Спечели жълтици,Выиграй золотые монеты,Pièces gratuites,Vinci monete,Moedas grátis,Kostenlose Münzen,Monedas gratis,Syiling percuma,무료 코인,無料コイン,免费金币,Besplatni novčići,Besplatni novčići,Besplatni novčići,Besplatni novčići,Besplatni novčići,Moedas grátis,Спечели жълтици
Advertising.UnityAds.WatchForCoins.Finished,You now have {0} extra coins.,Вече имаш още {0} жълтици.,Вы выиграли еще {0} золотых монет,Vous avez maintenant {0} pièces supplémentaires.,Hai {0} moneti in più,Agora você tem {0} moedas extras.,Du hast jetzt {0} zusätzliche Münzen.,Ahora tienes {0} monedas extra.,Anda kini ada {0} syiling tambahan.,현재 {0} 추가 코인을 소유하고 있습니다,現在、{0}枚の追加コインを持っています。,你现在有额外 {0} 枚金币。,Sada imate {0} dodatnih novčića,Sada imate {0} dodatnih novčića,Sada imate {0} dodatnih novčića,Sada imate {0} dodatnih novčića,Sada imate {0} dodatnih novčića,Agora você tem {0} moedas extras.,Вече имаш още {0} жълтици.
Advertising.UnityAds.WatchForCoins.Skipped,Please watch the whole video to get coins.,"Моля, изгледайте цялото видео, за да получите наградата.","Пожалуйста, посмотрите видео полностью, чтобы получить награду",Regardez toute la vidéo pour obtenir des pièces de monnaie.,Gurdate l'intero video per vincere la premia,"Por favor, veja todo o vídeo para obter moedas.","Bitte sieh Dir sich das ganze Video an, um Münzen zu bekommen.","Por favor, ve todo el vídeo para conseguir monedas.",Sila tonton keseluruhan video untuk dapatkan syiling.,코인을 획득하려면 비디오를 전체 시청하십시오.,動画を最後まで見て、コインを獲得してください。,请观看整部视频以获取金币。,Pogledajte video do kraja kako bi dobili novčiće.,Pogledajte video do kraja kako bi dobili novčiće.,Pogledajte video do kraja kako bi dobili novčiće.,Pogledajte video do kraja kako bi dobili novčiće.,Pogledajte video do kraja kako bi dobili novčiće.,"Por favor, veja todo o vídeo para obter moedas.","Моля, изгледайте цялото видео, за да получите наградата."
Advertising.UnityAds.UnableToShow,"Unable to load adverts!

Please try again later.","Рекламата не може да бъде заредена!

Моля, опитайте отново.","Реклама не загрузилась! 

Пожалуйста попробуйте позже","Impossible de charger des annonces!

Veuillez réessayer plus tard.",La pubblicittà non può essere caricata,"Não é possível carregar o anúncio!

Por favor, tente novamente mais tarde.","Werbung konnte nicht geladen werden!

Bitte versuche es später noch einmal. ","¡Es imposible cargar los anuncios!

Por favor, inténtalo de nuevo más tarde.","Tidak dapat memuat iklan!

Sila cuba Sila cuba sebentar lagi.","광고 불러올 수 없습니다!

나중에 다시 시도하십시오.","広告をロードできません！

後ほど再度お試しください。","无法加载广告！

请稍后重试。",Ne možemo da učitamo reklame! Pokušajte kasnije.,Ne možemo da učitamo reklame! Pokušajte kasnije.,Ne možemo da učitamo reklame! Pokušajte kasnije.,Ne možemo da učitamo reklame! Pokušajte kasnije.,Ne možemo da učitamo reklame! Pokušajte kasnije.,"Não é possível carregar o anúncio!

Por favor, tente novamente mais tarde.","Рекламата не може да бъде заредена!

Моля, опитайте отново."
Billing.NotInitialised,Billing not accessible. Please check settings and try again later.,"Плащането не е достъпно. Моля, проверете настройките и опитайте отново по-късно.",Оплата не доступна. Пожалуйста проверьте настройки и попробуйте еще раз,"
La facturation n'est pas accessible. Vérifiez les paramètres et réessayez plus tard.",Il pagamento non è andata a buon fine. Controla le tue impostazioni e riprova.,"O pagamento não foi possível. Verifique as configurações e tente novamente mais tarde.
",Verrechnung nicht möglich. Bitte überprüfe die Einstellungen und versuche es später erneut.,"No puede accederse la facturación. Por favor, comprueba la configuración e inténtalo de nuevo más tarde.",Bil tidak boleh diakses. Sila periksa tetapan dan cuba sebentar lagi.,결제에 액세스 할 수 없습니다. 설정을 확인한 후 나중에 다시 시도하십시오.,課金情報にアクセスできません。設定を確認して、後ほど再度お試しください。,无法进行收费。请检查设定并稍后重试。,Naplate nisu dostupne. Proverite podešavanja i pokušajte kasnije.,Naplate nisu dostupne. Proverite podešavanja i pokušajte kasnije.,Naplate nisu dostupne. Proverite podešavanja i pokušajte kasnije.,Naplate nisu dostupne. Proverite podešavanja i pokušajte kasnije.,Naplate nisu dostupne. Proverite podešavanja i pokušajte kasnije.,"O pagamento não foi possível. Verifique as configurações e tente novamente mais tarde.
","Плащането не е достъпно. Моля, проверете настройките и опитайте отново по-късно."
Billing.NotAvailable,"Unable to purchase.



Either the item is not found or is not currently available for purchase.



Please try again later.","Купуването не беше възможно.



Пакетът не е намерен или не е наличен за купуване.



Моля, опитайте отново.","Ваша покупка не была завершена. 



Пакет не найден или уже нет в продаже. 



Пожалуйста, попробуйте позже","Incapable d'acheter.



L'élément n'est pas trouvé ou n'est pas disponible actuellement pour l'achat.



Veuillez réessayer plus tard.","Il pagamento non è andata a buon fine. 



Il pachetto non è disponibile in quel momento. 



Riprova più tardi.","A compra não foi possível.



O item não foi encontrado ou não está disponível para comprar.



Por favor, tente novamente mais tarde.","Kauf nicht möglich.



Entweder wurde der Artikel nicht gefunden oder steht derzeit nicht zum Kauf zur Verfügung.



Bitte versuchen Sie es später noch einmal. ","No es posible efectuar la compra.



El artículo no se ha encontrado o no está disponible actualmente para su compra.



Por favor, inténtalo de nuevo más tarde.","Tidak dapat beli.



Sama ada barang itu tidak dijumpai atau tidak tersedia untuk dibeli.



Sila cuba sebentar lagi.","구매할 수 없습니다.



아이템을 찾을 수 없거나 현재 구매를 할 수 없습니다.



나중에 다시 시도하십시오.","購入できません。


その商品を見つけることができないか、またはその商品は現在購入できなくなっています。


後ほど再度お試しください。","无法购买。



无法找到该物品，或是该物品目前不能购买。



请稍后重试。",Nemoguće kupiti. Stavka nije pronađena ili trenutno nije dostupna. Pokušajte kasnije.,Nemoguće kupiti. Stavka nije pronađena ili trenutno nije dostupna. Pokušajte kasnije.,Nemoguće kupiti. Stavka nije pronađena ili trenutno nije dostupna. Pokušajte kasnije.,Nemoguće kupiti. Stavka nije pronađena ili trenutno nije dostupna. Pokušajte kasnije.,Nemoguće kupiti. Stavka nije pronađena ili trenutno nije dostupna. Pokušajte kasnije.,"A compra não foi possível.



O item não foi encontrado ou não está disponível para comprar.



Por favor, tente novamente mais tarde.","Купуването не беше възможно.



Пакетът не е намерен или не е наличен за купуване.



Моля, опитайте отново."
Billing.RestoreSucceeded,Purchases have been restored.,Покупката беше възстановена.,Ваша покупка была восстановлена,Les achats ont été restaurés.,l'aquisto è restituito con successo,As compras foram restauradas.,Käufe wurden wiederhergestellt.,Las compras han sido restauradas.,Pembelian telah dipulihkan.,구매가 복구되었습니다.,購入が復元されました。,已恢复购买。,Kupovina je obnovljena.,Kupovina je obnovljena.,Kupovina je obnovljena.,Kupovina je obnovljena.,Kupovina je obnovljena.,As compras foram restauradas.,Покупката беше възстановена.
